citing,cited
2022.nlp4convai-1.1,2020.coling-main.364
2022.nlp4convai-1.1,2020.acl-main.7
2022.nlp4convai-1.1,2020.acl-demos.30
2022.nlp4convai-1.1,P17-1061
2022.nlp4convai-1.1,P18-1104
D19-5705,K16-1018
D19-5705,N19-1280
D19-5705,D18-1176
D19-5705,N16-1030
2021.nlp4convai-1.15,N19-1423
2021.nlp4convai-1.15,W19-5932
2021.nlp4convai-1.15,W14-4337
2021.nlp4convai-1.15,2020.acl-main.53
2021.nlp4convai-1.15,P19-1546
2021.nlp4convai-1.15,P17-1163
2021.nlp4convai-1.15,P18-2069
2021.nlp4convai-1.15,P19-1078
2021.nlp4convai-1.15,P18-1134
2021.nlp4convai-1.15,2020.nlp4convai-1.13
D19-5703,D14-1179
D19-5703,D17-2017
D19-5703,N16-1030
2021.nlp4convai-1.16,2020.acl-main.57
2021.nlp4convai-1.16,2020.emnlp-main.273
2021.nlp4convai-1.16,P19-1542
2021.nlp4convai-1.16,P19-1253
2021.nlp4convai-1.16,N16-1015
D19-5708,P16-1218
2021.nlp4convai-1.19,D19-5602
2021.nlp4convai-1.19,D18-1547
2021.nlp4convai-1.19,D19-1459
2021.nlp4convai-1.19,N19-1423
2021.nlp4convai-1.19,D18-1045
2021.nlp4convai-1.19,2020.acl-main.665
2021.nlp4convai-1.19,W17-5506
2021.nlp4convai-1.19,D19-5503
2021.nlp4convai-1.19,P19-1350
2021.nlp4convai-1.19,2020.acl-main.54
2021.nlp4convai-1.19,W18-0502
2021.nlp4convai-1.19,P17-1014
2021.nlp4convai-1.19,P18-1133
2021.nlp4convai-1.19,2020.acl-main.428
2021.nlp4convai-1.19,2020.coling-main.41
2021.nlp4convai-1.19,2020.iwslt-1.25
2021.nlp4convai-1.19,2020.acl-main.565
2021.nlp4convai-1.19,P16-1009
2021.nlp4convai-1.19,W15-4639
2021.nlp4convai-1.19,2020.emnlp-main.66
2021.nlp4convai-1.19,2020.emnlp-main.740
2021.nlp4convai-1.19,2020.acl-demos.30
2021.nlp4convai-1.19,2020.acl-demos.19
2021.nlp4convai-1.19,2021.naacl-main.14
D19-5707,D17-2017
D19-5707,D15-1176
2021.nlp4convai-1.20,N18-3011
2021.nlp4convai-1.20,2021.acl-long.342
2021.nlp4convai-1.20,P19-1470
2021.nlp4convai-1.20,2020.acl-main.119
2021.nlp4convai-1.20,N19-1366
2021.nlp4convai-1.20,W14-3348
2021.nlp4convai-1.20,N19-1423
2021.nlp4convai-1.20,D17-1090
2021.nlp4convai-1.20,P19-1213
2021.nlp4convai-1.20,W17-3518
2021.nlp4convai-1.20,2020.acl-main.740
2021.nlp4convai-1.20,2020.coling-main.218
2021.nlp4convai-1.20,2021.findings-acl.82
2021.nlp4convai-1.20,N19-1238
2021.nlp4convai-1.20,P17-1014
2021.nlp4convai-1.20,D18-1360
2021.nlp4convai-1.20,P19-1081
2021.nlp4convai-1.20,N19-1236
2021.nlp4convai-1.20,D19-1250
2021.nlp4convai-1.20,W15-3049
2021.nlp4convai-1.20,D19-1314
2021.nlp4convai-1.20,2020.acl-main.704
2021.nlp4convai-1.20,P18-1151
2021.nlp4convai-1.20,D19-1585
2021.nlp4convai-1.20,D17-1239
2021.nlp4convai-1.20,2020.acl-main.640
2021.nlp4convai-1.20,D19-1204
2021.nlp4convai-1.20,2020.acl-main.224
2021.nlp4convai-1.20,D19-1053
2021.nlp4convai-1.20,2020.acl-main.67
2021.nlp4convai-1.20,D19-1548
D19-5709,N16-1030
D19-5709,P16-1101
D19-5709,W19-1916
2021.bsnlp-1.11,W19-3712
2021.bsnlp-1.11,D19-5531
2021.bsnlp-1.11,N19-1423
2021.bsnlp-1.11,2020.codi-1.3
2021.bsnlp-1.11,2020.emnlp-main.523
2021.bsnlp-1.11,K16-1025
2021.nlp4convai-1.21,D19-5602
2021.nlp4convai-1.21,W16-6626
2021.nlp4convai-1.21,W18-6539
2021.nlp4convai-1.21,W18-2706
2021.nlp4convai-1.21,W17-4912
2021.nlp4convai-1.21,2020.emnlp-main.527
2021.nlp4convai-1.21,D16-1140
2021.nlp4convai-1.21,2021.naacl-main.448
2021.nlp4convai-1.21,D15-1166
2021.nlp4convai-1.21,2020.emnlp-main.721
2021.nlp4convai-1.21,N19-1236
2021.nlp4convai-1.21,D17-1238
2021.nlp4convai-1.21,P19-1596
2021.nlp4convai-1.21,W18-5019
2021.nlp4convai-1.21,W18-1505
2021.nlp4convai-1.21,N19-1170
2021.nlp4convai-1.21,D19-1339
2021.nlp4convai-1.21,2021.naacl-main.124
2021.nlp4convai-1.21,D15-1199
2021.nlp4convai-1.21,P18-1102
2021.nlp4convai-1.23,2020.acl-main.703
2021.nlp4convai-1.23,2020.acl-demos.30
2021.eacl-demos.35,2020.emnlp-main.743
2021.nlp4convai-1.24,2020.emnlp-main.275
2021.nlp4convai-1.24,P18-1138
2021.nlp4convai-1.24,2021.naacl-main.446
2021.nlp4convai-1.24,2020.emnlp-main.272
2021.nlp4convai-1.26,W18-3204
2021.nlp4convai-1.26,2020.acl-main.747
2021.nlp4convai-1.26,N19-1423
2021.nlp4convai-1.26,D18-1346
2021.nlp4convai-1.26,2020.findings-emnlp.206
2021.nlp4convai-1.26,2020.acl-main.329
2021.nlp4convai-1.26,2020.acl-main.703
2021.nlp4convai-1.26,W16-5805
2021.nlp4convai-1.26,P17-1099
2021.nlp4convai-1.26,P15-1152
2021.nlp4convai-1.26,2020.acl-main.183
2021.nlp4convai-1.26,W14-3907
2021.nlp4convai-1.26,2020.wnut-1.7
2021.nlp4convai-1.26,2020.emnlp-demos.6
2021.nlp4convai-1.26,2020.acl-demos.30
2021.nlp4convai-1.26,D18-1076
2022.nlp4convai-1.4,P15-2061
2022.nlp4convai-1.4,N19-1423
2022.nlp4convai-1.4,P18-1175
2022.nlp4convai-1.4,2020.acl-main.771
2022.nlp4convai-1.4,D16-1011
2022.nlp4convai-1.4,P19-1560
2022.nlp4convai-1.4,2020.acl-main.579
2022.nlp4convai-1.4,P16-1005
2022.nlp4convai-1.4,2020.acl-main.444
2022.nlp4convai-1.4,D19-1516
2022.nlp4convai-1.4,D17-1004
D19-5717,W16-3001
D19-5717,W16-3013
D19-5717,W16-3005
D19-5717,W16-3012
D19-5717,W16-3009
2021.nlp4convai-1.27,N19-1423
2021.nlp4convai-1.27,2020.findings-emnlp.117
2021.nlp4convai-1.27,2020.acl-main.456
2021.nlp4convai-1.27,2021.dialdoc-1.16
2021.nlp4convai-1.27,2020.coling-main.611
2021.nlp4convai-1.27,2020.acl-main.654
2021.nlp4convai-1.27,P19-1336
D19-5719,W16-3002
D19-5719,N19-1423
D19-5719,D17-1257
D19-5719,P14-5010
2022.nlp4convai-1.5,2020.nlp4convai-1.5
2022.nlp4convai-1.5,D19-6101
2022.nlp4convai-1.5,D19-1131
2022.nlp4convai-1.5,2020.emnlp-main.437
2022.nlp4convai-1.5,P16-1009
2022.nlp4convai-1.5,D19-1670
2022.nlp4convai-1.5,2021.findings-emnlp.192
2022.nlp4convai-1.3,P18-1082
2022.nlp4convai-1.3,D18-1256
2022.nlp4convai-1.3,D17-1259
2022.nlp4convai-1.3,W15-4621
2022.nlp4convai-1.3,2021.eacl-main.24
2022.nlp4convai-1.3,P19-1566
D19-5701,W19-1916
2021.nlp4convai-1.10,D16-1230
W19-5119,P16-1016
W19-5119,P16-2038
2021.codi-sharedtask.7,2020.emnlp-main.686
W19-2207,D17-1035
2020.nlp4convai-1.4,N19-1423
2020.nlp4convai-1.4,W18-5045
2021.codi-sharedtask.8,N18-2001
2021.codi-sharedtask.8,2020.acl-main.132
2021.codi-sharedtask.8,2020.coling-main.331
2021.codi-sharedtask.8,D17-1018
2021.codi-sharedtask.8,N18-2108
2021.codi-sharedtask.8,2020.emnlp-main.536
2021.codi-sharedtask.8,P16-1060
2021.codi-sharedtask.8,2020.emnlp-main.686
2020.nlp4convai-1.3,D19-5821
2020.nlp4convai-1.3,P19-1356
2020.nlp4convai-1.3,P19-1604
2020.nlp4convai-1.3,P19-1452
D19-5723,W16-3005
D19-5723,W16-3009
D19-5723,P19-1423
D19-5723,P19-1074
2022.nlp4convai-1.8,W19-8609
2022.nlp4convai-1.8,P19-1534
D19-5725,P16-1231
D19-5725,D17-1018
2022.nlp4convai-1.10,2020.nlp4convai-1.5
2022.nlp4convai-1.10,P19-1595
2022.nlp4convai-1.10,N19-1423
2022.nlp4convai-1.10,D19-1403
2022.nlp4convai-1.10,D18-1300
2022.nlp4convai-1.10,2020.findings-emnlp.372
2022.nlp4convai-1.10,2020.nlp4convai-1.12
2022.nlp4convai-1.10,D19-1131
2022.nlp4convai-1.10,D19-6114
2022.nlp4convai-1.10,2020.findings-emnlp.108
2022.nlp4convai-1.10,2021.acl-long.236
2022.nlp4convai-1.10,2021.naacl-main.185
2022.nlp4convai-1.10,D19-1441
2022.nlp4convai-1.10,2020.acl-main.195
2022.nlp4convai-1.10,D19-1374
2022.nlp4convai-1.10,2020.emnlp-main.411
D19-5726,P18-3006
D19-5726,N19-1423
D19-5726,P15-2049
D19-5726,S14-2147
D19-5726,W19-2011
D19-5726,D14-1162
D19-5726,S14-2142
D19-5727,N19-1423
D19-5727,P18-1249
2022.nlp4convai-1.12,W17-5506
2022.nlp4convai-1.12,2020.findings-emnlp.196
2022.nlp4convai-1.12,P15-2038
2022.nlp4convai-1.12,D18-1298
2022.nlp4convai-1.12,P19-1534
2022.nlp4convai-1.12,P15-1152
2022.nlp4convai-1.12,2021.naacl-main.418
2022.nlp4convai-1.12,2020.emnlp-main.66
2022.nlp4convai-1.12,2020.acl-demos.30
2022.nlp4convai-1.14,P19-1567
2022.nlp4convai-1.14,N19-1423
2022.nlp4convai-1.14,W19-2310
2022.nlp4convai-1.14,2020.emnlp-main.742
2022.nlp4convai-1.14,N16-1014
2022.nlp4convai-1.14,2020.acl-main.64
2022.nlp4convai-1.14,2020.acl-main.333
2022.nlp4convai-1.14,2020.coling-main.368
2022.nlp4convai-1.14,P19-1534
2022.nlp4convai-1.14,D18-1432
2022.nlp4convai-1.14,2021.acl-long.441
2022.nlp4convai-1.14,2020.acl-demos.30
2022.nlp4convai-1.13,2021.emnlp-main.397
2022.nlp4convai-1.13,2021.acl-long.151
2022.nlp4convai-1.13,N19-3002
2022.nlp4convai-1.13,2020.acl-main.8
2022.nlp4convai-1.13,2020.acl-main.564
2022.nlp4convai-1.13,N19-1423
2022.nlp4convai-1.13,2020.emnlp-main.656
2022.nlp4convai-1.13,2020.emnlp-main.23
2022.nlp4convai-1.13,2020.emnlp-main.28
2022.nlp4convai-1.13,D19-1193
2022.nlp4convai-1.13,2020.findings-emnlp.196
2022.nlp4convai-1.13,N16-1014
2022.nlp4convai-1.13,P16-1094
2022.nlp4convai-1.13,D16-1127
2022.nlp4convai-1.13,D17-1230
2022.nlp4convai-1.13,D16-1230
2022.nlp4convai-1.13,2020.coling-main.390
2022.nlp4convai-1.13,2020.emnlp-main.64
2022.nlp4convai-1.13,2020.acl-main.131
2022.nlp4convai-1.13,D18-1075
2022.nlp4convai-1.13,W19-5302
2022.nlp4convai-1.13,P19-1081
2022.nlp4convai-1.13,2021.acl-long.134
2022.nlp4convai-1.13,P19-1534
2022.nlp4convai-1.13,2021.eacl-main.24
2022.nlp4convai-1.13,2020.nlp4convai-1.15
2022.nlp4convai-1.13,2020.acl-main.468
2022.nlp4convai-1.13,P15-1152
2022.nlp4convai-1.13,2020.acl-main.219
2022.nlp4convai-1.13,2020.emnlp-main.539
2022.nlp4convai-1.13,N15-1020
2022.nlp4convai-1.13,P19-1565
2022.nlp4convai-1.13,P19-1001
2022.nlp4convai-1.13,D19-1194
2022.nlp4convai-1.13,W18-5713
2022.nlp4convai-1.13,W17-3009
2022.nlp4convai-1.13,P19-1369
2022.nlp4convai-1.13,P17-1046
2022.nlp4convai-1.13,2020.emnlp-main.277
2022.nlp4convai-1.13,P18-1205
2022.nlp4convai-1.13,2020.acl-demos.30
2022.nlp4convai-1.13,D18-1076
2022.nlp4convai-1.13,D16-1036
2022.nlp4convai-1.15,2020.emnlp-main.408
2022.nlp4convai-1.15,N19-1191
2022.nlp4convai-1.15,P18-1224
2022.nlp4convai-1.15,2020.emnlp-main.413
2022.nlp4convai-1.15,2020.emnlp-main.651
2022.nlp4convai-1.15,2021.findings-acl.5
2022.nlp4convai-1.15,D18-1300
2022.nlp4convai-1.15,2020.acl-main.703
2022.nlp4convai-1.15,2021.eacl-main.257
2022.nlp4convai-1.15,2020.coling-main.42
2022.nlp4convai-1.15,2021.naacl-main.224
2022.nlp4convai-1.15,2021.emnlp-main.607
2022.nlp4convai-1.15,2020.emnlp-main.437
2022.nlp4convai-1.15,P17-1099
2022.nlp4convai-1.15,2021.findings-emnlp.161
2022.nlp4convai-1.15,W18-5713
2022.nlp4convai-1.16,2021.socialnlp-1.12
2022.nlp4convai-1.16,W19-8101
2022.nlp4convai-1.16,2020.acl-main.703
2022.nlp4convai-1.16,2021.acl-long.134
2022.nlp4convai-1.16,W18-5019
2022.nlp4convai-1.16,2021.acl-long.58
2022.nlp4convai-1.16,2020.acl-main.183
W19-4018,P15-1030
W19-4018,N18-1202
W19-4018,P16-1162
2021.tacl-1.9,P16-1231
2021.tacl-1.9,P19-1384
2021.tacl-1.9,2020.emnlp-main.656
2021.tacl-1.9,P19-1166
2021.tacl-1.9,D19-1530
2021.tacl-1.9,D15-1272
2021.tacl-1.9,P19-1164
2021.tacl-1.9,D19-1577
2021.tacl-1.9,D18-1521
R19-1124,W15-0907
R19-1124,D16-1159
R19-1124,W17-1705
R19-1124,W17-1705
2022.naacl-industry.34,2020.findings-emnlp.91
2022.naacl-industry.34,N19-1423
2022.naacl-industry.34,2021.naacl-main.96
2022.naacl-industry.34,2020.acl-main.398
2022.naacl-industry.34,P17-1003
2022.naacl-industry.34,P15-1142
2022.naacl-industry.34,2020.acl-main.745
2022.naacl-industry.34,2021.acl-long.254
2021.acl-long.81,2020.acl-main.485
2021.acl-long.81,2020.findings-emnlp.301
2021.acl-long.81,2020.emnlp-main.473
2021.acl-long.81,W19-3823
2021.acl-long.81,2020.emnlp-main.154
2021.acl-long.81,N18-2002
2021.acl-long.81,2020.emnlp-main.556
2021.acl-long.81,N18-2003
2022.nlp4convai-1.9,P18-1138
2022.nlp4convai-1.9,2020.acl-main.184
2022.naacl-main.194,N19-1423
2022.naacl-main.194,2021.emnlp-main.148
2022.naacl-main.194,P17-1147
2022.naacl-main.194,2020.emnlp-main.550
2022.naacl-main.194,2021.acl-long.518
2022.naacl-main.194,K17-1034
2022.naacl-main.194,2020.acl-main.703
2022.naacl-main.194,2020.findings-emnlp.63
2022.naacl-main.194,2021.naacl-main.200
2022.naacl-main.194,2020.emnlp-main.519
2022.nlp4convai-1.6,N19-1238
2022.nlp4convai-1.6,P16-1094
2022.nlp4convai-1.6,N19-2007
2022.nlp4convai-1.6,2020.emnlp-main.739
2022.nlp4convai-1.6,D18-1298
2022.nlp4convai-1.6,P19-1081
2022.nlp4convai-1.6,W14-4326
2022.nlp4convai-1.6,D19-1250
2022.nlp4convai-1.6,2020.emnlp-main.434
2022.nlp4convai-1.6,D19-1585
2022.nlp4convai-1.6,P19-1363
2022.nlp4convai-1.6,2020.acl-main.444
2022.nlp4convai-1.6,P18-1205
2021.naacl-main.96,N19-1273
2021.naacl-main.96,N19-1423
2021.naacl-main.96,2020.acl-main.740
2021.naacl-main.96,2020.acl-main.398
2021.naacl-main.96,D19-1284
2021.naacl-main.96,P15-1142
2021.naacl-main.96,D16-1264
2021.naacl-main.96,W18-5446
2021.naacl-main.96,D19-1391
2021.naacl-main.96,2020.acl-main.745
2021.insights-1.14,S16-1067
2021.jeptalnrecital-taln.17,2020.coling-main.4
2020.jeptalnrecital-taln.36,W14-1206
2020.jeptalnrecital-taln.36,N18-1063
2022.jeptalnrecital-taln.39,P15-2061
2022.jeptalnrecital-taln.39,2021.findings-acl.3
2022.jeptalnrecital-taln.39,2020.findings-emnlp.211
2022.jeptalnrecital-taln.39,2021.acl-long.220
2022.jeptalnrecital-taln.39,2020.acl-main.128
2022.jeptalnrecital-taln.39,D19-5532
2022.jeptalnrecital-taln.39,2020.nuse-1.5
2022.jeptalnrecital-taln.39,D18-1127
2022.jeptalnrecital-taln.39,D18-1156
2022.jeptalnrecital-taln.39,N16-1034
2022.jeptalnrecital-taln.39,P15-2060
2022.jeptalnrecital-taln.39,2021.findings-acl.214
2022.jeptalnrecital-taln.39,D19-1582
2022.jeptalnrecital-taln.39,2021.findings-acl.114
2022.dlg4nlp-1.5,N19-1423
2022.dlg4nlp-1.5,D19-1572
2022.dlg4nlp-1.5,2020.findings-emnlp.207
2022.dlg4nlp-1.5,2020.acl-main.368
2021.wmt-1.22,N19-1191
2021.wmt-1.22,W19-5403
2021.wmt-1.22,P19-1175
2021.wmt-1.22,W19-5206
2021.wmt-1.22,N19-1423
2021.wmt-1.22,D18-1045
2021.wmt-1.22,W17-4713
2021.wmt-1.22,W17-4719
2021.wmt-1.22,D18-2012
2021.wmt-1.22,W19-5333
2021.wmt-1.22,N19-4009
2021.wmt-1.22,W19-5420
2021.wmt-1.22,W18-6319
2021.wmt-1.22,P16-1162
2021.wmt-1.22,W19-5344
2021.wmt-1.22,P18-1117
2021.wmt-1.22,2020.acl-main.144
2021.wmt-1.22,N18-1120
2022.jeptalnrecital-taln.26,N19-1423
2022.jeptalnrecital-taln.26,D19-1572
2022.jeptalnrecital-taln.26,2020.bionlp-1.19
2021.emnlp-main.671,W18-3219
2021.emnlp-main.671,N18-1008
2021.emnlp-main.671,D18-1347
2021.emnlp-main.671,W14-3913
2021.emnlp-main.671,W14-4012
2021.emnlp-main.671,P15-1166
2021.emnlp-main.671,N16-1101
2021.emnlp-main.671,2021.iwslt-1.26
2021.emnlp-main.671,2020.coling-main.314
2021.emnlp-main.671,2020.coling-main.97
2021.emnlp-main.671,P19-2049
2021.emnlp-main.671,N15-1033
2021.emnlp-main.671,N19-4009
2021.emnlp-main.671,W18-6319
2021.emnlp-main.671,W16-5806
2021.emnlp-main.671,N16-1005
2021.emnlp-main.671,P16-1162
2021.emnlp-main.671,N19-1044
2021.emnlp-main.671,D18-1326
2021.emnlp-main.671,D19-1330
2021.emnlp-main.671,K19-1026
2021.emnlp-main.671,2021.calcs-1.11
2021.emnlp-main.671,P19-1161
2021.jeptalnrecital-taln.2,2020.acl-main.485
2021.jeptalnrecital-taln.2,W17-4705
2021.jeptalnrecital-taln.2,W19-3824
2021.jeptalnrecital-taln.2,W19-3821
2021.jeptalnrecital-taln.2,2020.findings-emnlp.180
2021.jeptalnrecital-taln.2,D19-1275
2021.jeptalnrecital-taln.2,D17-1263
2021.jeptalnrecital-taln.2,D19-3019
2021.jeptalnrecital-taln.2,P18-1007
2021.jeptalnrecital-taln.2,W18-6301
2021.jeptalnrecital-taln.2,2020.acl-main.690
2021.jeptalnrecital-taln.2,N16-1005
2021.jeptalnrecital-taln.2,P19-1164
2021.jeptalnrecital-taln.2,D18-1334
2021.jeptalnrecital-taln.2,N18-2003
2020.eval4nlp-1.1,2020.acl-main.454
2020.eval4nlp-1.1,P19-1213
2020.eval4nlp-1.1,D19-1051
2020.eval4nlp-1.1,W19-8643
2020.eval4nlp-1.1,P19-1101
2020.eval4nlp-1.1,P19-1502
2020.eval4nlp-1.1,W19-2303
2021.emnlp-main.665,W16-2206
2021.emnlp-main.665,W17-4711
2021.emnlp-main.665,D17-1011
2021.emnlp-main.665,2020.acl-main.747
2021.emnlp-main.665,N19-1423
2021.emnlp-main.665,P18-1141
2021.emnlp-main.665,D19-1453
2021.emnlp-main.665,2021.acl-demo.8
2021.emnlp-main.665,2020.findings-emnlp.147
2021.emnlp-main.665,2020.acl-main.560
2021.emnlp-main.665,W17-4804
2021.emnlp-main.665,P15-2034
2021.emnlp-main.665,P14-1131
2021.emnlp-main.665,2021.acl-long.67
2021.emnlp-main.665,2020.emnlp-main.362
2021.emnlp-main.665,2020.acl-main.146
2021.tacl-1.2,D19-1165
2021.tacl-1.2,W17-4712
2021.tacl-1.2,E17-2045
2021.tacl-1.2,W17-4713
2021.tacl-1.2,N16-1101
2021.tacl-1.2,E14-1035
2021.tacl-1.2,2020.acl-main.165
2021.tacl-1.2,P17-4012
2021.tacl-1.2,D17-1156
2021.tacl-1.2,D17-1156
2021.tacl-1.2,P18-2050
2021.tacl-1.2,P18-2050
2021.tacl-1.2,N19-4007
2021.tacl-1.2,D19-1432
2021.tacl-1.2,W19-5421
2021.tacl-1.2,N16-1005
2021.tacl-1.2,P16-1162
2021.tacl-1.2,2020.ngt-1.5
2021.tacl-1.2,D18-1041
2021.jeptalnrecital-taln.8,P19-1331
2021.jeptalnrecital-taln.8,2020.iwslt-1.26
2021.jeptalnrecital-taln.8,D16-1140
2021.jeptalnrecital-taln.8,D18-2012
2021.jeptalnrecital-taln.8,W19-5209
